Order_Date,Order_ID,Product_ID,Customer,Unit_quantity,Weight,Ship_ahead_day_count,Ship_Late_Day_count,Origin_Port,Destination_Port,Carrier,Plant_Code,TPT,Service_Level
26/5/2013,1447296447,1700106,V55555_53,808,14.3,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447158015,1700106,V55555_53,3188,87.94,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447138899,1700106,V55555_53,2331,61.2,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447363528,1700106,V55555_53,847,16.16,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447363981,1700106,V55555_53,2163,52.34,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447351441,1700106,V55555_53,3332,92.8,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447320236,1700106,V55555_53,1782,46.9,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447158019,1700106,V55555_53,427,2.86,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447219341,1700106,V55555_53,1291,26.6,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447398416,1700106,V55555_53,2294,62.2,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447381679,1700106,V55555_53,2766,75.5,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447170785,1700106,V55555_53,798,14.3,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447155056,1697884,V55555_53,739,73.9,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447257265,1697884,V55555_53,280,7.8,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447240989,1697884,V55555_53,574,59.5,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447257231,1697884,V55555_53,556,52.7,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447260653,1697884,V55555_53,544,58.5,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447139375,1697884,V55555_53,1151,181.7,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447308590,1697884,V55555_53,1404,227.2,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447191271,1697884,V55555_53,662,74.1,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447191284,1699336,V55555_53,836,80.43,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447352426,1702652,V55555_53,2063,265.1,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447211829,1699337,V55555_53,2114,267.1,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447232833,1699337,V55555_53,2108,271.1,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447205081,1699336,V55555_53,1120,112.6,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447365980,1702654,V55555_53,706,61.8,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447157118,1699336,V55555_53,889,107.88,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447398413,1702652,V55555_53,1793,216.57,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447377319,1702652,V55555_53,491,27.81,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447257239,1699337,V55555_53,1044,112.6,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447368959,1702653,V55555_53,447,32.9,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447308591,1699336,V55555_53,328,13.36,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447398479,1702652,V55555_53,973,106.88,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447377316,1702652,V55555_53,1179,129.14,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447365993,1702653,V55555_53,814,74.25,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447223051,1699336,V55555_53,1464,171.22,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447260686,1699337,V55555_53,347,6.18,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447299202,1699336,V55555_53,771,77.25,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447330061,1702652,V55555_53,469,27.9,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447260670,1699336,V55555_53,382,15.45,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447157119,1699337,V55555_53,507,43.17,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447205082,1699336,V55555_53,419,16.45,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447398412,1702654,V55555_53,452,33.9,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447257238,1699336,V55555_53,486,24.72,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447241003,1699336,V55555_53,729,60.8,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447398481,1702652,V55555_53,366,19.54,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447398420,1702653,V55555_53,539,43.26,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447308592,1699337,V55555_53,304,9.27,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447241005,1699337,V55555_53,544,46.35,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447191288,1699337,V55555_53,679,65.8,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447232831,1699336,V55555_53,868,101.7,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447377317,1702654,V55555_53,672,66.8,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447211552,1699336,V55555_53,890,84.7,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447257266,1699336,V55555_53,801,78.34,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447365979,1702652,V55555_53,605,46.35,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447299203,1699337,V55555_53,897,89.7,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447257425,1697883,V55555_53,840,83.4,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447260633,1697883,V55555_53,631,50.68,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447296448,1700035,V55555_53,1287,15.4,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447363577,1700035,V55555_53,3308,48.2,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447320237,1700035,V55555_53,2233,31.26,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447202431,1700035,V55555_53,1276,16.4,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447211553,1700035,V55555_53,1325,14.4,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447219352,1700035,V55555_53,735,7.7,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447320235,1700035,V55555_53,1294,16.4,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
26/5/2013,1447158020,1700035,V55555_53,696,6.16,3,0,PORT09,PORT09,V44_3,PLANT16,1,CRF
