Plant_Code,Product_ID
CND9,1698759
PLANT01,1654431
PLANT01,1664406
PLANT01,1664416
PLANT01,1665542
PLANT01,1665863
PLANT01,1668786
PLANT01,1668787
PLANT01,1669095
PLANT01,1669096
PLANT01,1669098
PLANT01,1670651
PLANT01,1670657
PLANT01,1670726
PLANT01,1670729
PLANT01,1670832
PLANT01,1671082
PLANT01,1671768
PLANT01,1672483
PLANT01,1673316
PLANT01,1673317
PLANT01,1673344
PLANT01,1673352
PLANT01,1673354
PLANT01,1673604
PLANT01,1673716
PLANT01,1673790
PLANT01,1673860
PLANT01,1674378
PLANT01,1674380
PLANT01,1674382
PLANT01,1674384
PLANT01,1674493
PLANT01,1675998
PLANT01,1676003
PLANT01,1676009
PLANT01,1677163
PLANT01,1677199
PLANT01,1677614
PLANT01,1677617
PLANT01,1677618
PLANT01,1679087
PLANT01,1679938
PLANT01,1679943
PLANT01,1679944
PLANT01,1679945
PLANT01,1679946
PLANT01,1679947
PLANT01,1679948
PLANT01,1679950
PLANT01,1679951
PLANT01,1679953
PLANT01,1679954
PLANT01,1679956
PLANT01,1680434
PLANT01,1681129
PLANT01,1681136
PLANT01,1681374
PLANT01,1681378
PLANT01,1681468
PLANT01,1681812
PLANT01,1682502
PLANT01,1682593
PLANT01,1683107
PLANT01,1684271
PLANT01,1684524
PLANT01,1684756
PLANT01,1685009
PLANT01,1685010
PLANT01,1685011
PLANT01,1685012
PLANT01,1685825
PLANT01,1685828
PLANT01,1685832
PLANT01,1685834
PLANT01,1685835
PLANT01,1685836
PLANT01,1685837
PLANT01,1685841
PLANT01,1686001
PLANT01,1686002
PLANT01,1686505
PLANT01,1686705
PLANT01,1686707
PLANT01,1687195
PLANT01,1687416
PLANT01,1687417
PLANT01,1687418
PLANT01,1687419
PLANT01,1687420
PLANT01,1687421
PLANT01,1687422
PLANT01,1687423
PLANT01,1687424
PLANT01,1687425
PLANT01,1687660
PLANT01,1687669
PLANT01,1687670
PLANT01,1687671
PLANT01,1687707
PLANT01,1687708
PLANT01,1687892
PLANT01,1688043
PLANT01,1688547
PLANT01,1688877
PLANT01,1688880
PLANT01,1688881
PLANT01,1688885
PLANT01,1688954
PLANT01,1688955
PLANT01,1689617
PLANT01,1689888
PLANT01,1690013
PLANT01,1690123
PLANT01,1690144
PLANT01,1690152
PLANT01,1690153
PLANT01,1690155
PLANT01,1690176
PLANT01,1690265
PLANT01,1690267
PLANT01,1690271
PLANT01,1690273
PLANT01,1690372
PLANT01,1690374
PLANT01,1690487
PLANT01,1690488
PLANT01,1690489
PLANT01,1690490
PLANT01,1690491
PLANT01,1690492
PLANT01,1690493
PLANT01,1690529
PLANT01,1691889
PLANT01,1691893
PLANT01,1691901
PLANT01,1691906
PLANT01,1691937
PLANT01,1692222
PLANT01,1692223
PLANT01,1692224
PLANT01,1692225
PLANT01,1692226
PLANT01,1692679
PLANT01,1692852
PLANT01,1692863
PLANT01,1692867
PLANT01,1693065
PLANT01,1693525
PLANT01,1693527
PLANT01,1693529
PLANT01,1693530
PLANT01,1693531
PLANT01,1693534
PLANT01,1693535
PLANT01,1693536
PLANT01,1693538
PLANT01,1694555
PLANT01,1694556
PLANT01,1694557
PLANT01,1694558
PLANT01,1694559
PLANT01,1694560
PLANT01,1694561
PLANT01,1694562
PLANT01,1694564
PLANT01,1694565
PLANT01,1694566
PLANT01,1694568
PLANT01,1694604
PLANT01,1694674
PLANT01,1694789
PLANT01,1694791
PLANT01,1694845
PLANT01,1694911
PLANT01,1694913
PLANT01,1694984
PLANT01,1694985
PLANT01,1695622
PLANT01,1695660
PLANT01,1695766
PLANT01,1695927
PLANT01,1695932
PLANT01,1695934
PLANT01,1695974
PLANT01,1696549
PLANT01,1696864
PLANT01,1697127
PLANT01,1697128
PLANT01,1697143
PLANT01,1697147
PLANT01,1697243
PLANT01,1697252
PLANT01,1697428
PLANT01,1697429
PLANT01,1697434
PLANT01,1697521
PLANT01,1697522
PLANT01,1697523
PLANT01,1697524
PLANT01,1697526
PLANT01,1697628
PLANT01,1698320
PLANT01,1698654
PLANT01,1698657
PLANT01,1698748
PLANT01,1698749
PLANT01,1700135
PLANT01,1700263
PLANT01,1700304
PLANT01,1700305
PLANT01,1700306
PLANT01,1700307
PLANT01,1700308
PLANT01,1700309
PLANT01,1701317
PLANT01,1701319
PLANT01,1701320
PLANT01,1701324
PLANT01,1701546
PLANT01,1701550
PLANT02,1656889
PLANT02,1660153
PLANT02,1660530
PLANT02,1660585
PLANT02,1660668
PLANT02,1680674
PLANT02,1680682
PLANT02,1680684
PLANT02,1680697
PLANT02,1680742
PLANT02,1682646
PLANT02,1682648
PLANT02,1682651
PLANT02,1682709
PLANT02,1682727
PLANT02,1682736
PLANT02,1682754
PLANT02,1682757
PLANT02,1682760
PLANT02,1682763
PLANT02,1682766
PLANT02,1682769
PLANT02,1682772
PLANT02,1682778
PLANT02,1682787
PLANT02,1682790
PLANT02,1682793
PLANT02,1682796
PLANT02,1682799
PLANT02,1682802
PLANT02,1682805
PLANT02,1682832
PLANT02,1682835
PLANT02,1682853
PLANT02,1682859
PLANT02,1682862
PLANT02,1682869
PLANT02,1683134
PLANT02,1683392
PLANT02,1683397
PLANT02,1683401
PLANT02,1683403
PLANT02,1683405
PLANT02,1683407
PLANT02,1683409
PLANT02,1683419
PLANT02,1683426
PLANT02,1683432
PLANT02,1683523
